RA;Fase;Turma;Nome_Anon;Ano_Nasc;Idade;Gênero;Ano ingresso;Instituicao_Ensino;Pedra 20;Pedra 21;Pedra 22;INDE;Cg;Cf;Ct;Nº Av;Avaliador1;Rec Av1;Avaliador2;Rec Av2;Avaliador3;Rec Av3;Avaliador4;Rec Av4;IAA;IEG;IPS;Rec Psicologia;IDA;Mat;Por;Ing;Indicado;Atingiu PV;IPV;IAN;Fase ideal;Defas;Destaque IEG;Destaque IDA;Destaque IPV;ano_ref;Defasagem;Fase Ideal;IPP;INDE 2023;Pedra 2023;Data_Nasc;Pedra 23;INDE 22;Destaque IPV.1;Pedra 2024;INDE 23;Avaliador5;Avaliador6;Escola;Ativo/ Inativo;Ativo/ Inativo.1;Defasagem_num;IAN_num;risco
RA-11;7;A;Aluno-11;2004.0;18;Menina;2016;Escola Pública;Quartzo;Ágata;Quartzo;5.323;799.0;19.0;11.0;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-28;Mantido na Fase atual;Avaliador-31;Mantido na Fase atual;9.2;4.2;5.0;Requer avaliação;3.0;1.8;2.5;4.5;Não;Não;6.389;5.0;Fase 8 (Universitários);-1.0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;5.0;0
RA-12;7;A;Aluno-12;2005.0;17;Menina;2020;Escola Pública;Ágata;Ágata;Quartzo;4.832;834.0;20.0;12.0;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Mantido na Fase atual;Avaliador-31;Mantido na Fase atual;0.0;4.0;6.9;Sem limitações;1.5;2.7;1.1;0.7;Sim;Não;6.389;10.0;Fase 7 (3º EM);0.0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;10.0;1
RA-13;7;A;Aluno-13;2004.0;18;Menino;2016;Escola Pública;Ametista;Ametista;Ágata;6.902;524.0;10.0;4.0;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Promovido de Fase + Bolsa;Avaliador-31;Mantido na Fase atual;7.9;7.4;7.5;Sem limitações;4.7;3.5;5.5;5.2;Sim;Não;8.056;5.0;Fase 8 (Universitários);-1.0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;5.0;0
RA-14;7;D;Aluno-14;2001.0;21;Menino;2022;Escola Pública;;;Ágata;6.793;558.0;12.0;7.0;4.0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-29;Mantido na Fase atual;Avaliador-31;Mantido na Fase atual;7.9;8.3;7.5;Não atendido;4.0;8.0;0.0;;Sim;Não;7.75;5.0;Fase 8 (Universitários);-1.0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;5.0;0
RA-15;7;D;Aluno-15;2004.0;18;Menino;2022;Escola Pública;;;Ametista;7.783;207.0;3.0;2.0;4.0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-29;Mantido na Fase + Bolsa;Avaliador-31;Mantido na Fase atual;8.8;10.0;7.5;Não atendido;7.3;8.0;6.5;;Sim;Não;7.292;5.0;Fase 8 (Universitários);-1.0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;5.0;0
RA-16;7;D;Aluno-16;2003.0;19;Menino;2022;Escola Pública;;;Ágata;6.112;706.0;14.0;8.0;4.0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-29;Mantido na Fase + Bolsa;Avaliador-31;Mantido na Fase atual;7.9;8.3;5.0;Requer avaliação;3.5;7.0;0.0;;Sim;Não;6.333;5.0;Fase 8 (Universitários);-1.0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;5.0;0
RA-17;7;D;Aluno-17;2002.0;20;Menino;2022;Escola Pública;;;Topázio;8.068;125.0;2.0;1.0;4.0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-29;Mantido na Fase + Bolsa;Avaliador-31;Mantido na Fase atual;8.8;10.0;7.5;Não atendido;7.8;9.0;6.5;;Sim;Não;8.292;5.0;Fase 8 (Universitários);-1.0;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;5.0;0
RA-18;7;D;Aluno-18;2003.0;19;Menino;2022;Escola Pública;;;Ametista;7.226;418.0;7.0;5.0;4.0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-29;Promovido de Fase + Bolsa;Avaliador-31;Mantido na Fase atual;6.3;8.7;6.3;Requer avaliação;9.0;9.0;9.0;;Sim;Não;6.875;5.0;Fase 8 (Universitários);-1.0;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;5.0;0
RA-19;7;D;Aluno-19;2003.0;19;Menina;2022;Escola Pública;;;Ametista;7.665;248.0;4.0;3.0;4.0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-29;Promovido de Fase + Bolsa;Avaliador-31;Mantido na Fase atual;7.9;9.5;7.5;Sem limitações;8.0;7.0;9.0;;Sim;Não;7.0;5.0;Fase 8 (Universitários);-1.0;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;5.0;0
RA-20;7;D;Aluno-20;2003.0;19;Menina;2022;Escola Pública;;;Ametista;7.535;296.0;5.0;4.0;4.0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-29;Mantido na Fase + Bolsa;Avaliador-31;Mantido na Fase atual;7.1;10.0;6.3;Não atendido;7.8;9.0;6.5;;Sim;Não;7.167;5.0;Fase 8 (Universitários);-1.0;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;5.0;0
RA-21;7;D;Aluno-21;2004.0;18;Menino;2022;Escola Pública;;;Ágata;6.945;508.0;9.0;6.0;4.0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-29;Mantido na Fase atual;Avaliador-31;Mantido na Fase atual;9.6;9.2;7.5;Não atendido;3.8;7.0;0.5;;Sim;Não;7.25;5.0;Fase 8 (Universitários);-1.0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;5.0;0
RA-22;6;A;Aluno-22;2005.0;17;Menina;2019;Rede Decisão;Ametista;Ágata;Ametista;7.474;327.0;10.0;10.0;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Mantido na Fase + Bolsa;Avaliador-31;Promovido de Fase;8.3;7.4;8.1;Sem limitações;6.7;9.0;3.1;7.8;Não;Sim;8.833;5.0;Fase 7 (3º EM);-1.0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;5.0;0
RA-23;6;A;Aluno-23;2005.0;17;Menino;2021;Escola Pública;;Ametista;Ametista;7.677;243.0;8.0;8.0;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Promovido de Fase + Bolsa;Avaliador-31;Promovido de Fase + Bolsa;8.3;8.2;8.1;Sem limitações;6.7;7.2;4.7;8.2;Sim;Sim;8.556;5.0;Fase 7 (3º EM);-1.0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;5.0;0
RA-24;6;A;Aluno-24;2005.0;17;Menina;2021;Rede Decisão;;Topázio;Topázio;8.087;119.0;5.0;5.0;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-28;Promovido de Fase + Bolsa;Avaliador-31;Promovido de Fase + Bolsa;9.2;7.9;6.9;Requer avaliação;8.6;10.0;6.3;9.7;Não;Sim;9.111;5.0;Fase 7 (3º EM);-1.0;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;5.0;0
RA-25;6;A;Aluno-25;2005.0;17;Menina;2021;Escola Pública;;Topázio;Ametista;7.979;147.0;6.0;6.0;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;8.3;8.3;8.8;Sem limitações;6.9;9.2;3.8;7.7;Sim;Sim;9.667;5.0;Fase 7 (3º EM);-1.0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;5.0;0
RA-26;6;A;Aluno-26;2005.0;17;Menino;2022;Escola Pública;;;Topázio;8.677;17.0;3.0;3.0;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Mantido na Fase + Bolsa;Avaliador-31;Promovido de Fase + Bolsa;9.6;8.8;10.0;Sem limitações;8.0;9.5;4.4;10.0;Sim;Sim;10.0;5.0;Fase 7 (3º EM);-1.0;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;5.0;0
RA-27;6;A;Aluno-27;2005.0;17;Menino;2016;Rede Decisão;Topázio;Ametista;Ametista;7.124;449.0;12.0;12.0;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Promovido de Fase + Bolsa;Avaliador-31;Promovido de Fase + Bolsa;0.0;7.6;8.1;Sem limitações;8.0;7.7;6.3;10.0;Não;Sim;9.111;5.0;Fase 7 (3º EM);-1.0;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;5.0;0
RA-28;6;A;Aluno-28;2005.0;17;Menina;2019;Escola Pública;Ametista;Ametista;Ágata;6.242;698.0;14.0;14.0;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-28;Mantido na Fase atual;Avaliador-31;Promovido de Fase;7.9;6.1;7.5;Requer avaliação;5.0;8.2;1.5;5.3;Não;Não;6.333;5.0;Fase 7 (3º EM);-1.0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;5.0;0
RA-29;6;A;Aluno-29;2005.0;17;Menino;2022;Escola Pública;;;Quartzo;4.985;821.0;16.0;16.0;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase + Bolsa;Avaliador-28;Mantido na Fase atual;Avaliador-31;Alocado em Fase anterior;0.0;4.0;8.8;Requer avaliação;3.7;6.3;1.1;3.8;Sim;Não;7.611;5.0;Fase 7 (3º EM);-1.0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;5.0;0
RA-30;6;A;Aluno-30;2006.0;16;Menina;2021;Escola Pública;;Ametista;Ametista;7.605;270.0;9.0;9.0;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-28;Promovido de Fase;Avaliador-31;Promovido de Fase;8.8;6.4;7.5;Sem limitações;7.5;8.5;4.4;9.7;Não;Não;7.333;10.0;Fase 6 (2º EM);0.0;Melhorar: Melhorar a sua entrega de lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;10.0;1
RA-31;6;A;Aluno-31;2005.0;17;Menina;2019;Rede Decisão;Topázio;Topázio;Topázio;8.843;9.0;2.0;2.0;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Promovido de Fase + Bolsa;Avaliador-31;Promovido de Fase + Bolsa;10.0;9.5;9.4;Sem limitações;8.0;9.0;5.7;9.3;Não;Sim;10.0;5.0;Fase 7 (3º EM);-1.0;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;5.0;0
RA-32;6;A;Aluno-32;2006.0;16;Menina;2018;Rede Decisão;Ametista;Ametista;Ametista;7.37;370.0;11.0;11.0;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-28;Mantido na Fase atual;Avaliador-31;Promovido de Fase;8.8;5.2;8.8;Sem limitações;6.1;5.7;3.6;8.9;Não;Não;7.944;10.0;Fase 6 (2º EM);0.0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;10.0;1
RA-33;6;A;Aluno-33;2005.0;17;Menina;2020;Escola Pública;Ágata;Ametista;Quartzo;4.952;824.0;17.0;17.0;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-28;Mantido na Fase atual;Avaliador-31;Promovido de Fase;0.0;4.6;7.5;Sem limitações;4.8;9.0;1.6;3.7;Não;Não;6.0;5.0;Fase 7 (3º EM);-1.0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;5.0;0
RA-34;6;A;Aluno-34;2005.0;17;Menino;2016;Rede Decisão;Ametista;Ametista;Ágata;6.259;692.0;13.0;13.0;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;9.6;4.8;8.1;Sem limitações;3.8;4.7;4.0;2.8;Não;Não;7.278;5.0;Fase 7 (3º EM);-1.0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;5.0;0
RA-35;6;A;Aluno-35;2005.0;17;Menina;2019;Rede Decisão;Ametista;Topázio;Topázio;8.965;5.0;1.0;1.0;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Promovido de Fase + Bolsa;Avaliador-31;Promovido de Fase + Bolsa;10.0;9.6;9.4;Sem limitações;8.5;9.0;7.1;9.3;Não;Sim;10.0;5.0;Fase 7 (3º EM);-1.0;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;5.0;0
RA-36;6;A;Aluno-36;2005.0;17;Menina;2019;Rede Decisão;Topázio;Ametista;Ametista;7.876;177.0;7.0;7.0;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Mantido na Fase + Bolsa;Avaliador-31;Promovido de Fase + Bolsa;9.2;9.0;6.9;Sem limitações;6.8;8.5;4.3;7.8;Não;Sim;8.944;5.0;Fase 7 (3º EM);-1.0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;5.0;0
RA-37;6;A;Aluno-37;2005.0;17;Menina;2019;Rede Decisão;Ametista;Ágata;Quartzo;4.95;825.0;18.0;18.0;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-28;Mantido na Fase + Bolsa;Avaliador-31;Promovido de Fase;0.0;5.4;5.0;Sem limitações;5.9;2.3;5.3;10.0;Não;Não;5.222;5.0;Fase 7 (3º EM);-1.0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;5.0;0
RA-38;6;A;Aluno-38;2005.0;17;Menina;2017;Rede Decisão;Ametista;Ametista;Topázio;8.523;31.0;4.0;4.0;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Promovido de Fase + Bolsa;Avaliador-31;Promovido de Fase + Bolsa;9.2;8.9;7.5;Não indicado;8.6;9.0;7.0;9.7;Não;Sim;9.833;5.0;Fase 7 (3º EM);-1.0;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;5.0;0
RA-39;6;A;Aluno-39;2006.0;16;Menina;2017;Rede Decisão;Ametista;Ametista;Ágata;6.033;722.0;15.0;15.0;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-28;Promovido de Fase;Avaliador-31;Promovido de Fase;0.0;4.8;6.9;Requer avaliação;6.9;7.7;5.1;7.8;Não;Não;6.111;10.0;Fase 6 (2º EM);0.0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;10.0;1
RA-40;5;A;Aluno-40;2006.0;16;Menina;2016;Rede Decisão;Ametista;Ágata;Ametista;7.203;429.0;27.0;3.0;3.0;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-24;Promovido de Fase + Bolsa;Avaliador-31;;7.9;7.8;7.5;Sem limitações;6.8;4.7;7.3;8.4;Não;Não;7.75;5.0;Fase 6 (2º EM);-1.0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;5.0;0
RA-41;5;A;Aluno-41;2005.0;17;Menino;2018;Escola Pública;Ágata;Ágata;Quartzo;5.581;777.0;51.0;9.0;3.0;Avaliador-5;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;Avaliador-24;Mantido na Fase atual;Avaliador-31;;9.2;6.1;5.0;Requer avaliação;5.6;6.3;2.5;8.0;Não;Não;4.375;5.0;Fase 7 (3º EM);-2.0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;5.0;0
